Track,Danceability_scaled,Loudness_scaled,Cluster
"Young, Wild & Free (feat. Bruno Mars)",-0.4545220038295707,0.1739161545507677,0
Drop It Like It's Hot,1.6354819150554765,0.8673441526552765,1
"That's My N**** (with Meek Mill, YG & Snoop Dogg)",0.6060769997837364,0.4625774363781333,1
From The D 2 The LBC (with Snoop Dogg),0.5748829114421685,-0.11819624422414997,1
Sweat - Remix,1.167570589931958,0.4325034172637537,1
Beautiful,1.7540194507534344,0.27671013791713106,1
I Wanna Fuck You,1.4670338380110097,-0.25698044718641033,1
Qué Maldición,0.805719165169771,-0.16281425618892642,1
Love Me,0.2691808456948038,0.22543640041064758,1
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",-0.7727017049135633,0.7426109258366197,0
Mirror,-1.858255979200125,0.024532092392455254,0
Forever,-1.053448499987674,1.260278467969385,0
6 Foot 7 Foot,-1.6336585431408366,0.4835306464168405,0
Lollipop,1.286108125629916,-0.4928889413869135,1
A Milli,0.23174793968492238,-0.3126913350540319,1
Scared of the Dark (feat. XXXTENTACION),-1.1407919473440642,0.16602788724207795,0
ay! (feat. Lil Wayne),0.7246145354816945,0.17293012113718137,1
Right Above It,-1.5587927311210736,0.7500061764385164,0
Snowman,0.5624052761055414,0.2794217298044932,1
Unstoppable,-0.9848215056362246,0.6289705749208079,0
Chandelier,-1.4152999247498612,1.111880439224659,0
Dusk Till Dawn (feat. Sia) - Radio Edit,-2.288734398313762,0.19758095647683677,0
Cheap Thrills,0.013389321293947088,0.4394056511588573,1
"Genius (feat. Sia, Diplo, and Labrinth)",-0.1425811204138924,0.6062918064083249,0
Elastic Heart,-1.278045936046963,0.5897757467307556,0
Unstoppable - R3HAB Remix,0.3253302047096261,0.8214935989235174,1
Del Mar,0.8306744358430254,0.445075343286978,1
Santa's Coming for Us,-0.49195490983945217,0.2956912811286658,0
Dreams - 2004 Remaster,1.2611528549566615,-0.5801528984892937,1
The Chain - 2004 Remaster,-0.5044325451760794,-0.3499140964169117,0
Everywhere - 2017 Remaster,0.6497487234619315,-0.8875488151747977,1
Go Your Own Way - 2004 Remaster,-0.267357473780164,0.559701727616376,0
Don't Stop - 2004 Remaster,0.281658481031431,-0.08220602462825298,1
Little Lies - 2017 Remaster,0.08825513331371004,-0.7283044188806235,1
Dancing Queen,-0.5169101805127065,0.21606908298157845,0
